Timestamp,Value
Wed Jan 03 2024 23:05:18 GMT-0400 (hora de Bolivia),78
Wed Jan 03 2024 23:05:16 GMT-0400 (hora de Bolivia),41
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:05:13 GMT-0400 (hora de Bolivia),47
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),55
Wed Jan 03 2024 23:05:09 GMT-0400 (hora de Bolivia),69
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),40
Wed Jan 03 2024 23:05:06 GMT-0400 (hora de Bolivia),60
Wed Jan 03 2024 23:05:05 GMT-0400 (hora de Bolivia),43
Wed Jan 03 2024 23:05:02 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:04:59 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:56 GMT-0400 (hora de Bolivia),42
Wed Jan 03 2024 23:04:54 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:51 GMT-0400 (hora de Bolivia),45
Wed Jan 03 2024 23:04:50 GMT-0400 (hora de Bolivia),75
Wed Jan 03 2024 23:05:18 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:16 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:13 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:09 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:07 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:05 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:05:02 GMT-0400 (hora de Bolivia),23:05
Wed Jan 03 2024 23:04:56 GMT-0400 (hora de Bolivia),23:04
Wed Jan 03 2024 23:04:54 GMT-0400 (hora de Bolivia),23:04
Wed Jan 03 2024 23:04:51 GMT-0400 (hora de Bolivia),23:04
Wed Jan 03 2024 23:04:50 GMT-0400 (hora de Bolivia),23:04
Wed Jan 03 2024 23:04:49 GMT-0400 (hora de Bolivia),23:04
Wed Jan 03 2024 23:05:18 GMT-0400 (hora de Bolivia),78
Wed Jan 03 2024 23:05:17 GMT-0400 (hora de Bolivia),41
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:05:13 GMT-0400 (hora de Bolivia),47
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),55
Wed Jan 03 2024 23:05:09 GMT-0400 (hora de Bolivia),69
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),40
Wed Jan 03 2024 23:05:07 GMT-0400 (hora de Bolivia),60
Wed Jan 03 2024 23:05:06 GMT-0400 (hora de Bolivia),43
Wed Jan 03 2024 23:05:03 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:04:57 GMT-0400 (hora de Bolivia),42
Wed Jan 03 2024 23:04:54 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:51 GMT-0400 (hora de Bolivia),45
Wed Jan 03 2024 23:04:50 GMT-0400 (hora de Bolivia),75
Wed Jan 03 2024 23:04:49 GMT-0400 (hora de Bolivia),77
Wed Jan 03 2024 23:05:19 GMT-0400 (hora de Bolivia),78
Wed Jan 03 2024 23:05:17 GMT-0400 (hora de Bolivia),41
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:05:14 GMT-0400 (hora de Bolivia),47
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),55
Wed Jan 03 2024 23:05:09 GMT-0400 (hora de Bolivia),69
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),40
Wed Jan 03 2024 23:05:07 GMT-0400 (hora de Bolivia),60
Wed Jan 03 2024 23:05:06 GMT-0400 (hora de Bolivia),43
Wed Jan 03 2024 23:05:03 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:05:01 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:57 GMT-0400 (hora de Bolivia),42
Wed Jan 03 2024 23:04:54 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:52 GMT-0400 (hora de Bolivia),45
Wed Jan 03 2024 23:04:50 GMT-0400 (hora de Bolivia),75
Wed Jan 03 2024 23:05:19 GMT-0400 (hora de Bolivia),23
Wed Jan 03 2024 23:05:17 GMT-0400 (hora de Bolivia),27
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),20
Wed Jan 03 2024 23:05:14 GMT-0400 (hora de Bolivia),30
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),20
Wed Jan 03 2024 23:05:09 GMT-0400 (hora de Bolivia),25
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),22
Wed Jan 03 2024 23:05:07 GMT-0400 (hora de Bolivia),30
Wed Jan 03 2024 23:05:06 GMT-0400 (hora de Bolivia),23
Wed Jan 03 2024 23:05:03 GMT-0400 (hora de Bolivia),25
Wed Jan 03 2024 23:05:01 GMT-0400 (hora de Bolivia),27
Wed Jan 03 2024 23:04:57 GMT-0400 (hora de Bolivia),20
Wed Jan 03 2024 23:04:54 GMT-0400 (hora de Bolivia),30
Wed Jan 03 2024 23:04:52 GMT-0400 (hora de Bolivia),21
Wed Jan 03 2024 23:04:50 GMT-0400 (hora de Bolivia),23
Wed Jan 03 2024 23:05:19 GMT-0400 (hora de Bolivia),78
Wed Jan 03 2024 23:05:17 GMT-0400 (hora de Bolivia),41
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:05:14 GMT-0400 (hora de Bolivia),47
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),55
Wed Jan 03 2024 23:05:10 GMT-0400 (hora de Bolivia),69
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),40
Wed Jan 03 2024 23:05:07 GMT-0400 (hora de Bolivia),60
Wed Jan 03 2024 23:05:06 GMT-0400 (hora de Bolivia),43
Wed Jan 03 2024 23:05:03 GMT-0400 (hora de Bolivia),74
Wed Jan 03 2024 23:05:01 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:57 GMT-0400 (hora de Bolivia),42
Wed Jan 03 2024 23:04:54 GMT-0400 (hora de Bolivia),79
Wed Jan 03 2024 23:04:52 GMT-0400 (hora de Bolivia),45
Wed Jan 03 2024 23:04:51 GMT-0400 (hora de Bolivia),75
Wed Jan 03 2024 23:05:18 GMT-0400 (hora de Bolivia),23
Wed Jan 03 2024 23:05:16 GMT-0400 (hora de Bolivia),27
Wed Jan 03 2024 23:05:15 GMT-0400 (hora de Bolivia),20
Wed Jan 03 2024 23:05:13 GMT-0400 (hora de Bolivia),30
Wed Jan 03 2024 23:05:11 GMT-0400 (hora de Bolivia),20
Wed Jan 03 2024 23:05:09 GMT-0400 (hora de Bolivia),25
Wed Jan 03 2024 23:05:08 GMT-0400 (hora de Bolivia),22
Wed Jan 03 2024 23:05:06 GMT-0400 (hora de Bolivia),30
Wed Jan 03 2024 23:05:04 GMT-0400 (hora de Bolivia),23
Wed Jan 03 2024 23:05:02 GMT-0400 (hora de Bolivia),25
Wed Jan 03 2024 23:04:59 GMT-0400 (hora de Bolivia),27
Wed Jan 03 2024 23:04:55 GMT-0400 (hora de Bolivia),20
Wed Jan 03 2024 23:04:53 GMT-0400 (hora de Bolivia),30
Wed Jan 03 2024 23:04:51 GMT-0400 (hora de Bolivia),21
Wed Jan 03 2024 23:04:50 GMT-0400 (hora de Bolivia),23
